Image,Labels
../train/cotton_weed\Carpetweeds\Carpetweeds_314.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_315.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_316.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_317.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_318.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_319.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_320.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_321.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_322.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_323.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_324.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_325.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_326.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_327.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_328.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_329.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_330.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_331.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_332.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_333.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_334.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_335.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_336.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_337.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_338.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_339.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_340.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_341.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_342.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_343.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_344.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_345.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_346.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_347.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_348.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_349.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_350.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_351.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_352.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_353.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_354.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_355.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_356.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_357.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_358.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_359.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_360.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_361.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_362.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_363.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_364.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_365.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_366.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_367.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_368.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_369.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_370.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_371.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_372.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_373.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_374.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_375.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_376.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_377.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_378.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_379.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_380.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_381.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_382.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_383.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_384.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_385.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_386.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_387.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_388.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_389.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_390.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_391.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_392.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_393.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_394.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_395.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_396.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_397.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_398.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_399.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_400.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_401.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_402.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_403.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_404.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_405.jpg,Carpetweeds
../train/cotton_weed\Carpetweeds\Carpetweeds_406.jpg,Carpetweeds
